bom_id,startdate
64009,2017-07-20 23:00:00
47048,2017-07-21 02:00:00
12314,2017-07-21 02:00:00
5008,2017-07-21 02:00:00
83055,2017-07-21 01:54:00
14072,2017-07-21 02:00:00
9617,2017-07-21 02:00:00
44021,2017-07-21 02:00:00
85291,2017-07-21 01:54:00
10311,2017-07-21 01:00:00
250121,2021-01-21 10:50:00
96003,2017-07-21 02:00:00
10916,2017-07-21 02:00:00
250076,2018-08-02 02:20:00
250051,2019-02-01 00:10:00
18201,2017-07-21 02:00:00
250104,2019-10-31 02:00:00
23090,2017-07-21 02:00:00
989532,2017-07-21 00:00:00
84143,2017-07-21 01:54:00
90194,2017-07-21 01:54:00
74272,2017-09-27 05:30:00
40284,2017-07-21 02:00:00
90015,2017-07-21 01:54:00
86266,2017-07-21 01:54:00
70005,2017-07-20 23:00:00
140009,2018-03-26 07:20:00
83024,2017-07-21 01:54:00
32004,2017-07-20 23:00:00
36007,2017-07-20 23:00:00
85279,2017-07-21 01:54:00
73142,2017-07-20 23:00:00
22803,2017-07-21 02:00:00
22843,2017-07-21 02:00:00
58214,2017-07-21 02:00:00
47029,2017-07-20 23:00:00
11003,2017-07-21 02:00:00
66059,2017-07-21 02:00:00
23373,2017-07-21 02:00:00
14704,2017-07-21 02:00:00
65068,2017-07-21 02:00:00
86383,2017-07-21 01:54:00
7045,2017-07-21 02:00:00
22823,2017-07-21 02:00:00
73014,2017-07-20 23:00:00
250028,2018-04-19 03:40:00
9534,2017-07-21 01:00:00
61287,2017-07-21 02:00:00
80023,2017-07-20 23:00:00
27075,2017-07-21 02:00:00
300061,2018-01-13 01:30:00
4028,2017-07-21 01:00:00
37039,2017-07-21 02:00:00
200790,2017-07-21 02:00:00
18115,2017-07-21 02:00:00
9254,2019-03-18 02:40:00
250071,2018-11-07 02:00:00
250137,2022-03-07 02:50:00
9998,2017-07-21 02:00:00
3030,2017-08-03 01:00:00
9965,2017-07-21 02:00:00
9789,2017-07-21 02:00:00
44026,2017-07-20 23:00:00
38003,2017-07-19 05:00:00
51049,2017-07-21 02:00:00
250067,2018-11-07 02:10:00
26021,2017-07-21 02:00:00
92012,2017-07-21 02:00:00
86282,2017-07-21 01:54:00
83083,2017-07-18 23:00:00
28004,2017-07-21 02:00:00
24518,2017-07-20 23:30:00
22053,2017-07-21 02:00:00
46136,2017-08-04 01:50:00
39066,2017-07-21 02:00:00
250091,2018-11-26 04:10:00
38026,2017-07-21 02:00:00
33307,2017-07-21 02:00:00
36031,2017-07-21 02:00:00
250039,2018-04-11 04:30:00
541157,2021-02-04 00:40:00
28008,2017-07-21 02:00:00
14508,2017-07-21 02:00:00
14518,2017-07-21 02:00:00
10612,2017-07-20 01:00:00
71032,2017-07-21 02:00:00
86373,2017-07-21 01:54:00
48237,2017-07-21 02:00:00
40922,2017-07-21 02:00:00
61089,2017-07-19 23:00:00
40717,2017-07-21 02:00:00
250132,2022-02-26 05:10:00
200880,2017-07-21 02:00:00
92148,2017-07-20 23:00:00
12320,2017-07-21 02:00:00
17043,2017-07-21 02:00:00
23083,2017-07-21 02:00:00
54104,2017-07-20 23:00:00
16001,2017-07-21 02:00:00
250105,2019-09-11 15:00:00
91311,2017-07-21 02:00:00
95003,2017-07-21 02:00:00
12239,2017-07-21 01:00:00
21139,2017-07-21 02:00:00
47019,2017-07-20 23:00:00
13030,2017-07-21 02:00:00
26026,2017-07-20 23:30:00
10905,2017-07-21 02:00:00
29167,2017-07-21 02:00:00
10911,2017-07-21 02:00:00
32182,2017-07-21 02:00:00
2079,2017-07-21 02:00:00
18044,2017-07-20 23:30:00
32195,2017-09-28 02:20:00
59151,2017-07-21 02:00:00
200786,2017-07-21 02:00:00
250035,2017-11-27 01:00:00
200896,2021-04-14 23:30:00
91293,2017-07-21 02:00:00
48015,2017-07-19 23:00:00
89002,2017-07-21 01:54:00
18014,2017-07-20 23:30:00
15643,2017-07-21 02:00:00
22031,2017-07-21 02:00:00
13017,2017-07-21 02:00:00
29058,2017-07-21 02:00:00
41525,2017-07-21 02:00:00
36034,2017-07-21 02:00:00
250066,2019-08-16 04:20:00
250140,2022-09-05 00:00:00
86127,2017-07-18 23:00:00
63254,2017-07-20 23:00:00
97080,2017-07-21 02:00:00
83084,2017-07-21 01:54:00
84084,2017-07-21 01:54:00
9538,2017-07-21 02:00:00
34035,2017-07-21 02:00:00
86371,2017-07-21 01:54:00
200713,2017-07-21 02:00:00
97072,2017-07-21 02:00:00
86344,2017-07-21 01:54:00
63226,2017-07-20 23:00:00
91259,2017-07-21 02:00:00
80128,2017-07-21 01:55:00
9053,2017-07-21 02:00:00
80091,2017-07-21 01:54:00
3080,2017-07-21 02:00:00
85099,2017-07-21 01:53:00
94041,2017-07-21 02:00:00
43109,2017-07-21 02:00:00
18195,2017-07-21 02:00:00
48027,2017-07-21 02:00:00
300017,2017-07-21 02:00:00
250112,2020-10-25 21:10:00
14982,2017-10-02 00:40:00
92163,2022-10-10 00:20:00
8290,2017-07-21 02:00:00
49136,2017-09-26 06:50:00
200839,2017-07-21 02:00:00
38076,2017-07-21 02:00:00
40861,2017-07-21 02:00:00
58161,2017-07-21 02:00:00
94020,2017-07-20 23:00:00
250135,2022-03-04 04:50:00
8025,2017-07-21 01:00:00
89112,2017-07-21 01:54:00
94010,2017-07-20 23:00:00
250096,2018-11-07 02:10:00
66043,2017-07-21 02:00:00
300001,2017-07-21 02:00:00
250136,2022-03-08 01:50:00
250146,2022-10-09 23:50:00
8315,2017-07-21 02:00:00
39104,2017-07-20 23:00:00
33327,2017-07-21 02:00:00
33329,2017-07-21 02:00:00
250032,2018-10-22 07:00:00
86068,2017-07-21 01:54:00
200838,2017-07-21 01:54:00
32037,2017-07-21 02:00:00
19062,2017-07-20 23:30:00
82138,2017-07-21 01:54:00
68192,2017-07-21 02:00:00
7185,2017-07-21 02:00:00
61366,2017-07-21 02:00:00
68257,2017-07-21 02:00:00
72023,2017-07-20 23:00:00
541150,2017-07-21 02:00:00
41522,2017-07-21 02:00:00
250069,2018-11-07 02:10:00
250124,2020-10-25 21:10:00
250052,2019-01-22 06:10:00
9021,2017-07-21 02:00:00
